Store_Number,Store_Name,Status,WFM_Region,WFM_Region_Abbr,Op_Area,UNFI_DC,UNFI_Region,Distributor,Merch_Partner,Wire_Rack,DC_Source,Address,City,State,Zip,Latitude,Longitude
10663,Bazaarvoice Cafe Express,Closed,Southwest,SW,Central West,"Lancaster, TX",,Unknown,Uncovered,No,inferred (region modal),10901 Stonelake Blvd Ste 128,Austin,TX,78759,30.3994282,-97.7345
10090,Bedford,Open,North Atlantic,,North Atlantic & International,"Chesterfield, NH",East,Rainforest,Final Touch,No,mapped,170 Great Rd,Bedford,MA,1730,42.4912338,-71.2736
10617,Bedford New Hampshire,Open,North Atlantic,,North Atlantic & International,"Chesterfield, NH",East,Rainforest,Final Touch,No,mapped,121 S River Rd,Bedford,NH,3110,42.9546471,-71.4765
10393,Bee Caves,Open,Southwest,SW,Central West,"Lancaster, TX",West,UNFI,Final Touch,No,mapped,12601 Hill Country Blvd,Austin,TX,78738,30.3075256,-97.9376
10218,BelMar,Open,Rocky Mountain,RM,Central West,"Aurora, CO",West,UNFI,Basemakers,No,mapped,444 S Wadsworth Blvd,Lakewood,CO,80226,39.7086182,-105.0809
10134,Bellaire,Open,Southwest,SW,Central West,"Lancaster, TX",West,UNFI,Final Touch,No,mapped,4004 Bellaire Blvd,Houston,TX,77025,29.7069302,-95.4414
10153,Bellevue,Open,Pacific Northwest,PN,Central West,"Ridgefield, WA",West,UNFI,Basemakers,No,mapped,888 116th Ave NE,Bellevue,WA,98004,47.6183624,-122.1846
10657,Bellevue Square,Closed,Pacific Northwest,PN,Central West,"Ridgefield, WA",,Unknown,Uncovered,No,inferred (region modal),10200 NE 4th St,Bellevue,WA,98004,47.6141434,-122.2037
10091,Bellingham,Open,North Atlantic,,North Atlantic & International,"Dayville, CT",East,Rainforest,Final Touch,No,mapped,255 Hartford Ave,Bellingham,MA,2019,42.1112633,-71.4617
10637,Bellingham Washington,Open,Pacific Northwest,PN,Central West,"Ridgefield, WA",West,UNFI,Basemakers,No,mapped,1030 Lakeway Dr,Bellingham,WA,98229,48.7436333,-122.4613
10407,Bend,Open,Pacific Northwest,PN,Central West,"Ridgefield, WA",West,UNFI,Uncovered,No,mapped,2610 NE Highway 20,Bend,OR,97701,44.0562515,-121.266
10006,Berkeley,Open,Northern California,NC,California,"Rocklin, CA",West,UNFI,Uncovered,No,mapped,3000 Telegraph Ave,Berkeley,CA,94705,37.8554611,-122.2604
10048,Bethesda,Open,Mid-Atlantic,MA,Northeast,"York, PA",East,UNFI,Final Touch,No,mapped,5269 River Rd,Bethesda,MD,20816,38.966156,-77.1042
